brand,year,season,num,r,g,b,a
chanel,2019,spring,38,199,177,156,253
chanel,2019,spring,38,161,110,94,252
chanel,2021,spring,3,120,121,132,253
chanel,2021,spring,3,90,89,97,253
chanel,2021,spring,3,152,152,161,253
chanel,2021,spring,3,34,34,38,253
chanel,2019,spring,81,220,165,145,252
chanel,2019,spring,81,207,143,117,253
chanel,2019,spring,81,166,113,93,251
chanel,2019,spring,81,32,29,36,254
chanel,2019,fall,17,91,85,89,251
chanel,2019,fall,17,57,67,87,252
chanel,2019,fall,17,28,37,51,253
chanel,2019,fall,17,42,52,70,253
chanel,2021,spring,34,205,163,150,253
chanel,2021,spring,34,155,111,98,252
chanel,2021,spring,34,27,29,34,253
chanel,2021,spring,34,225,220,217,253
chanel,2021,spring,24,228,147,166,252
chanel,2021,spring,24,164,107,89,252
chanel,2021,spring,24,250,156,208,253
chanel,2021,spring,24,25,28,32,253
chanel,2018,fall,15,154,111,93,249
chanel,2018,fall,15,27,27,27,253
chanel,2018,fall,15,212,172,152,252
chanel,2018,fall,15,90,86,87,252
chanel,2021,spring,12,217,171,178,253
chanel,2021,spring,12,228,186,195,253
chanel,2021,spring,12,155,108,89,253
chanel,2021,spring,12,26,24,35,253
chanel,2018,fall,23,101,109,139,253
chanel,2018,fall,23,84,83,100,253
chanel,2018,fall,23,47,52,76,254
chanel,2018,fall,23,37,34,39,253
chanel,2018,fall,33,96,77,49,251
chanel,2018,fall,33,73,55,34,250
chanel,2018,fall,33,44,35,23,249
chanel,2018,fall,33,141,114,83,251
chanel,2020,spring,68,225,217,218,253
chanel,2020,spring,68,208,176,166,253
chanel,2020,spring,68,78,52,41,253
chanel,2020,spring,68,34,30,33,253
chanel,2019,fall,31,224,223,224,253
chanel,2019,fall,31,162,159,161,252
chanel,2019,fall,31,94,93,97,251
chanel,2019,fall,31,32,34,43,250
chanel,2019,fall,21,220,219,216,253
chanel,2019,fall,21,166,165,162,249
chanel,2019,fall,21,94,94,93,251
chanel,2019,fall,21,20,26,29,253
chanel,2020,spring,78,227,222,219,253
chanel,2020,spring,78,216,174,156,253
chanel,2020,spring,78,160,110,81,253
chanel,2020,spring,78,30,30,32,253
chanel,2018,fall,2,214,173,151,253
chanel,2018,fall,2,232,226,224,253
chanel,2018,fall,2,96,90,80,253
chanel,2018,fall,2,30,30,27,253
chanel,2018,spring,74,199,147,120,254
chanel,2018,spring,74,232,234,236,253
chanel,2018,spring,74,210,170,148,253
chanel,2018,spring,74,27,28,32,253
chanel,2018,spring,64,220,225,228,253
chanel,2018,spring,64,111,89,84,251
chanel,2018,spring,64,161,158,159,251
chanel,2018,spring,64,148,112,96,252
chanel,2018,spring,16,222,225,225,253
chanel,2018,spring,16,160,161,161,249
chanel,2018,spring,16,31,37,43,251
chanel,2018,spring,16,87,96,99,247
chanel,2020,fall,19,147,105,89,252
chanel,2020,fall,19,93,89,85,253
chanel,2020,fall,19,37,37,35,253
chanel,2020,fall,19,78,54,43,253
chanel,2019,fall,53,220,219,220,253
chanel,2019,fall,53,158,111,97,250
chanel,2019,fall,53,211,172,155,253
chanel,2019,fall,53,174,168,168,246
chanel,2019,fall,43,6,115,157,253
chanel,2019,fall,43,210,180,159,253
chanel,2019,fall,43,16,170,205,254
chanel,2019,fall,43,7,140,180,253
chanel,2018,fall,41,101,89,80,253
chanel,2018,fall,41,44,37,32,253
chanel,2018,fall,41,147,106,93,252
chanel,2018,fall,41,79,52,43,253
chanel,2018,fall,51,160,149,144,220
chanel,2018,fall,51,107,92,83,149
chanel,2018,fall,51,99,92,91,221
chanel,2018,fall,51,49,50,55,222
chanel,2021,spring,70,212,209,215,253
chanel,2021,spring,70,202,173,164,253
chanel,2021,spring,70,168,160,167,252
chanel,2021,spring,70,107,94,98,253
chanel,2021,spring,60,217,215,222,253
chanel,2021,spring,60,167,151,151,252
chanel,2021,spring,60,90,88,94,252
chanel,2021,spring,60,27,28,32,253
chanel,2019,spring,31,209,159,151,252
chanel,2019,spring,31,163,109,92,253
chanel,2019,spring,31,210,208,225,253
chanel,2019,spring,31,201,138,112,253
chanel,2019,spring,21,230,223,230,254
chanel,2019,spring,21,217,159,158,253
chanel,2019,spring,21,212,93,103,253
chanel,2019,spring,21,160,105,94,253
chanel,2020,fall,44,219,177,148,253
chanel,2020,fall,44,24,27,27,253
chanel,2020,fall,44,234,234,231,254
chanel,2020,fall,44,93,88,84,249
chanel,2020,fall,54,229,229,230,254
chanel,2020,fall,54,102,87,79,251
chanel,2020,fall,54,29,31,31,253
chanel,2020,fall,54,150,106,84,253
chanel,2020,spring,57,43,51,85,253
chanel,2020,spring,57,221,218,220,253
chanel,2020,spring,57,159,162,168,252
chanel,2020,spring,57,25,28,35,251
chanel,2020,spring,47,242,181,198,253
chanel,2020,spring,47,159,105,89,252
chanel,2020,spring,47,241,212,218,253
chanel,2020,spring,47,227,158,163,253
chanel,2019,fall,3,90,89,90,253
chanel,2019,fall,3,58,61,65,253
chanel,2019,fall,3,38,39,41,253
chanel,2019,fall,3,153,152,150,252
chanel,2018,spring,90,28,29,31,250
chanel,2018,spring,90,226,226,228,253
chanel,2018,spring,90,56,60,66,253
chanel,2018,spring,80,226,229,231,253
chanel,2018,spring,80,206,171,154,253
chanel,2018,spring,80,176,137,116,251
chanel,2018,spring,80,177,160,152,249
chanel,2020,spring,35,238,101,84,253
chanel,2020,spring,35,227,43,45,253
chanel,2020,spring,35,166,33,36,253
chanel,2020,spring,35,93,34,30,252
chanel,2020,spring,25,229,227,228,253
chanel,2020,spring,25,82,45,42,253
chanel,2020,spring,25,31,27,29,253
chanel,2020,spring,25,215,168,162,253
chanel,2020,fall,26,146,107,87,253
chanel,2020,fall,26,99,88,81,252
chanel,2020,fall,26,79,50,43,253
chanel,2020,fall,26,30,30,31,253
chanel,2020,fall,36,147,94,92,253
chanel,2020,fall,36,103,78,79,251
chanel,2020,fall,36,85,44,45,253
chanel,2020,fall,36,28,30,31,253
chanel,2020,fall,4,145,105,91,253
chanel,2020,fall,4,237,230,219,253
chanel,2020,fall,4,93,88,85,253
chanel,2020,fall,4,27,30,30,253
chanel,2019,spring,53,169,111,98,248
chanel,2019,spring,53,41,71,110,253
chanel,2019,spring,53,31,53,86,253
chanel,2019,spring,53,231,228,238,253
chanel,2019,spring,43,218,214,227,253
chanel,2019,spring,43,204,172,165,253
chanel,2019,spring,43,176,152,153,249
chanel,2019,spring,43,151,100,89,253
chanel,2018,spring,29,226,215,213,253
chanel,2018,spring,29,209,195,186,252
chanel,2018,spring,29,178,159,150,250
chanel,2018,spring,29,202,180,172,253
chanel,2018,spring,39,210,215,218,253
chanel,2018,spring,39,152,115,97,253
chanel,2018,spring,39,103,99,91,249
chanel,2018,spring,39,164,164,163,252
chanel,2018,spring,6,235,213,167,253
chanel,2018,spring,6,171,155,150,247
chanel,2018,spring,6,235,232,223,253
chanel,2018,spring,6,206,174,157,253
chanel,2018,fall,3,58,69,74,253
chanel,2018,fall,3,155,156,154,247
chanel,2018,fall,3,86,90,93,253
chanel,2018,fall,3,25,26,27,253
chanel,2018,spring,65,174,155,153,252
chanel,2018,spring,65,172,135,121,251
chanel,2018,spring,65,219,216,219,253
chanel,2018,spring,65,207,172,156,253
chanel,2018,spring,75,173,155,149,248
chanel,2018,spring,75,169,135,120,249
chanel,2018,spring,75,236,236,235,253
chanel,2018,spring,75,206,174,157,253
chanel,2018,fall,32,113,85,73,253
chanel,2018,fall,32,97,71,56,253
chanel,2018,fall,32,78,51,40,249
chanel,2018,fall,32,40,26,20,248
chanel,2018,fall,22,151,155,161,253
chanel,2018,fall,22,86,87,98,253
chanel,2018,fall,22,49,53,74,254
chanel,2018,fall,22,34,32,35,253
chanel,2021,spring,13,25,23,33,253
chanel,2021,spring,13,226,202,220,253
chanel,2021,spring,13,200,162,148,253
chanel,2021,spring,13,171,150,159,250
chanel,2019,fall,20,168,159,151,249
chanel,2019,fall,20,97,91,89,251
chanel,2019,fall,20,39,37,39,250
chanel,2019,fall,20,226,224,220,253
chanel,2020,spring,79,75,55,48,253
chanel,2020,spring,79,31,31,34,253
chanel,2020,spring,79,147,108,90,253
chanel,2020,spring,79,89,78,79,252
chanel,2020,spring,69,229,219,217,253
chanel,2020,spring,69,216,175,163,253
chanel,2020,spring,69,166,159,157,252
chanel,2020,spring,69,29,27,30,253
chanel,2019,fall,30,92,89,99,252
chanel,2019,fall,30,29,35,49,253
chanel,2019,fall,30,222,220,220,253
chanel,2019,fall,30,37,48,74,253
chanel,2019,fall,42,4,117,138,253
chanel,2019,fall,42,6,139,159,253
chanel,2019,fall,42,4,91,111,253
chanel,2019,fall,42,234,228,217,251
chanel,2019,fall,52,214,215,214,251
chanel,2019,fall,52,208,178,165,253
chanel,2019,fall,52,174,172,171,239
chanel,2019,fall,52,147,148,147,168
chanel,2021,spring,61,28,27,32,253
chanel,2021,spring,61,209,210,214,252
chanel,2021,spring,61,164,158,161,251
chanel,2021,spring,71,19,23,26,253
chanel,2021,spring,71,214,216,219,251
chanel,2021,spring,71,90,88,89,244
chanel,2021,spring,71,74,54,38,253
chanel,2020,spring,1,217,173,157,253
chanel,2020,spring,1,37,23,27,253
chanel,2020,spring,1,236,222,214,253
chanel,2020,spring,1,92,30,34,253
chanel,2018,fall,50,151,101,96,252
chanel,2018,fall,50,89,89,100,253
chanel,2018,fall,50,155,154,161,252
chanel,2018,fall,50,33,32,40,253
chanel,2018,fall,40,97,89,82,253
chanel,2018,fall,40,90,71,52,252
chanel,2018,fall,40,36,33,32,253
chanel,2018,fall,40,76,54,41,252
chanel,2018,spring,17,222,213,210,253
chanel,2018,spring,17,58,73,88,253
chanel,2018,spring,17,208,178,166,253
chanel,2018,spring,17,75,90,104,253
chanel,2020,fall,18,92,93,92,252
chanel,2020,fall,18,222,220,216,253
chanel,2020,fall,18,159,162,161,252
chanel,2020,fall,18,30,32,33,253
chanel,2020,spring,46,226,224,222,253
chanel,2020,spring,46,213,176,160,253
chanel,2020,spring,46,177,164,160,251
chanel,2020,spring,46,167,106,81,252
chanel,2020,spring,56,222,219,222,253
chanel,2020,spring,56,30,31,39,253
chanel,2020,spring,56,215,170,161,253
chanel,2020,spring,56,44,50,85,253
chanel,2019,fall,2,34,33,32,253
chanel,2019,fall,2,225,222,218,253
chanel,2019,fall,2,170,162,155,252
chanel,2019,fall,2,99,94,89,252
chanel,2020,fall,55,231,231,232,253
chanel,2020,fall,55,25,27,27,253
chanel,2020,fall,55,238,202,171,253
chanel,2020,fall,55,146,106,86,253
