brand,year,season,num,r,g,b,a
versace,2021,spring,17,16,15,18,253
versace,2021,spring,17,233,88,31,254
valentino,2021,spring,24,83,51,36,253
valentino,2021,spring,24,36,29,27,253
valentino,2021,spring,24,108,70,51,253
valentino,2021,spring,24,105,82,71,252
philosophy,2021,spring,42,215,181,203,253
philosophy,2021,spring,42,209,163,168,253
philosophy,2021,spring,42,176,151,162,251
philosophy,2021,spring,42,227,210,226,253
valentino,2021,spring,34,210,217,137,253
valentino,2021,spring,34,173,163,94,253
valentino,2021,spring,34,204,168,147,253
valentino,2021,spring,34,199,208,118,253
miu-miu,2021,spring,42,228,147,91,254
miu-miu,2021,spring,42,206,117,53,254
miu-miu,2021,spring,42,168,89,33,253
miu-miu,2021,spring,42,113,73,154,254
miu-miu,2021,spring,52,242,215,208,253
miu-miu,2021,spring,52,161,109,96,252
miu-miu,2021,spring,52,233,168,154,253
miu-miu,2021,spring,52,227,150,107,253
elder-statesman,2021,spring,5,221,215,209,254
elder-statesman,2021,spring,5,204,179,159,253
elder-statesman,2021,spring,5,178,164,150,252
elder-statesman,2021,spring,5,25,28,26,252
bevza,2021,spring,1,226,223,216,253
bevza,2021,spring,1,208,201,185,253
bevza,2021,spring,1,205,174,153,250
bevza,2021,spring,1,167,114,82,250
coach,2021,spring,27,237,223,210,253
coach,2021,spring,27,210,179,145,253
coach,2021,spring,27,178,139,96,253
coach,2021,spring,27,223,204,173,253
coach,2021,spring,37,145,105,78,253
coach,2021,spring,37,107,75,52,253
coach,2021,spring,37,211,214,214,248
coach,2021,spring,37,169,170,170,233
givenchy,2021,spring,35,232,227,220,254
givenchy,2021,spring,35,220,178,209,253
givenchy,2021,spring,35,169,154,164,249
givenchy,2021,spring,35,90,88,88,253
burberry-prorsum,2021,spring,16,29,47,79,253
burberry-prorsum,2021,spring,16,16,25,42,252
burberry-prorsum,2021,spring,16,80,108,149,253
burberry-prorsum,2021,spring,16,48,72,110,253
fendi,2021,spring,36,233,200,180,254
fendi,2021,spring,36,230,228,227,254
fendi,2021,spring,36,214,174,153,253
fendi,2021,spring,36,25,30,33,253
kenzo,2021,spring,3,228,201,178,254
kenzo,2021,spring,3,225,211,201,253
kenzo,2021,spring,3,210,175,153,254
kenzo,2021,spring,3,157,108,90,253
fendi,2021,spring,26,168,167,165,248
fendi,2021,spring,26,79,53,43,253
fendi,2021,spring,26,229,230,233,253
fendi,2021,spring,26,103,88,85,249
martin-grant,2021,spring,40,209,169,145,253
martin-grant,2021,spring,40,181,49,136,254
martin-grant,2021,spring,40,153,27,102,254
martin-grant,2021,spring,40,91,32,42,253
christian-dior,2021,spring,61,221,215,204,254
christian-dior,2021,spring,61,211,199,184,253
christian-dior,2021,spring,61,206,181,161,253
christian-dior,2021,spring,61,176,166,152,252
dsquared,2021,fall,38,145,49,32,253
dsquared,2021,fall,38,104,35,23,252
dsquared,2021,fall,38,20,19,23,253
dsquared,2021,fall,38,225,174,146,253
michael-kors-collection,2021,spring,19,219,201,180,253
michael-kors-collection,2021,spring,19,203,177,151,253
michael-kors-collection,2021,spring,19,171,142,114,253
michael-kors-collection,2021,spring,19,147,112,85,252
christian-dior,2021,spring,71,87,93,95,253
christian-dior,2021,spring,71,46,71,78,254
christian-dior,2021,spring,71,35,59,67,254
christian-dior,2021,spring,71,26,40,43,253
jenny-packham,2021,spring,4,26,21,20,253
jenny-packham,2021,spring,4,228,222,217,253
jenny-packham,2021,spring,4,197,184,177,253
jenny-packham,2021,spring,4,172,162,157,253
